X,Y,Z,Name,original_Indirizzo,Regione,lat,lon,formatted,housenumber,street,district,postcode,suburb,city,county,county_code,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url,Indirizzo,Regione,code,level,license,name2,url
14.2504103,37.066279,0,Via Giacomo Navarra Bresmes,"Via Bresmes 114, Gela",Sicilia,37.066279,14.2504103,"Via Giacomo Navarra Bresmes, 114, 93012 Gela CL, Italia","114",Via Giacomo Navarra Bresmes,Quartiere San Giovanni,"93012",,Gela,Caltanissetta,CL,Sicilia,SIC,Italia,it,"45.0",1,9,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Bresmes 114, Gela",Sicilia,it,"0",Open Database License,Via Giacomo Navarra Bresmes,https://www.openstreetmap.org/copyright
13.827859,37.747448,0,,"Contrada Acqua Del Corvo Sn, Valledolmo",Sicilia,37.747448,13.827859,"Valledolmo, PA, Italia",,,,"90029",,Valledolmo,Palermo,PA,Sicilia,SIC,Italia,it,"25.0",1,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Contrada Acqua Del Corvo Sn, Valledolmo",Sicilia,it,,Open Database License,,https://www.openstreetmap.org/copyright
14.3686711,41.3516362,0,Via Luigi Ferritto,"Via Ferritto  25, Piedimonte Matese",Campania,41.3516362,14.3686711,"Via Luigi Ferritto, 25, 81016 Piedimonte Matese CE, Italia","25",Via Luigi Ferritto,,"81016",,Piedimonte Matese,Caserta,CE,Campania,CAM,Italia,it,"5.0",1,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Ferritto  25, Piedimonte Matese",Campania,it,"0",Open Database License,Via Luigi Ferritto,https://www.openstreetmap.org/copyright
14.5447656,40.7222779,0,Via Dante Alighieri,"Via Dante Alighieri 84, Sant'Antonio Abate",Campania,40.7222779,14.5447656,"Via Dante Alighieri, 84, 80057 Sant'Antonio Abate NA, Italia","84",Via Dante Alighieri,,"80057",,Sant'Antonio Abate,Napoli,NA,Campania,CAM,Italia,it,"5.0",1,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Dante Alighieri 84, Sant'Antonio Abate",Campania,it,"0",Open Database License,Via Dante Alighieri,https://www.openstreetmap.org/copyright
16.100683,38.675395,0,,"Via Bitonto 49, Vibo Valentia",Calabria,38.675395,16.100683,"Vibo Valentia (Vibo Valentia), VV, Italia",,,Vibo Valentia,,,Vibo Valentia,Vibo Valentia,VV,Calabria,CAL,Italia,it,"25.0",1,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/,"Via Bitonto 49, Vibo Valentia",Calabria,it,,CC0,,https://www.whosonfirst.org/docs/licenses/
14.643334,37.650124,0,,"Via Vito Mulone  1, Regalbuto",Sicilia,37.650124,14.643334,"Via Concezione, 1, 94017 Regalbuto EN, Italia","1",Via Concezione,Regalbuto,"94017",,Regalbuto,Enna,EN,Sicilia,SIC,Italia,it,"3.0",1,3,"3.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Vito Mulone  1, Regalbuto",Sicilia,it,"3",BSD-3-Clause License,,
12.863859,41.482072,0,,"Via Acque Alte  305, Latina",Lazio,41.482072,12.863859,"Strada Acque Alte, 305, 04100 Latina LT, Italia","305",Strada Acque Alte,Comune di Latina,"04100",,Latina,Latina,LT,Lazio,LAZ,Italia,it,"5.0",1,1,"0.0",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Acque Alte  305, Latina",Lazio,it,"0",Open Database License,,https://www.openstreetmap.org/copyright
14.24727,40.935395,0,,"Via Michele Praus  37, Casandrino",Campania,40.935395,14.24727,"Via Michele Praus, 37, 80025 Casandrino NA, Italia","37",Via Michele Praus,Comune di Sant'Antimo,"80025",,Casandrino,Napoli,NA,Campania,CAM,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Michele Praus  37, Casandrino",Campania,it,"1",BSD-3-Clause License,,
18.1546023,40.3614104,0,Via Taranto,"Via Taranto  181/E, Lecce",Puglia,40.3614104,18.1546023,"Via Taranto, 181, 73100 Lecce LE, Italia","181",Via Taranto,,"73100",,Lecce,Lecce,LE,Puglia,PUG,Italia,it,"7.124999999999999E15",1,1,"7.124999999999999E15",© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,"Via Taranto  181/E, Lecce",Puglia,it,"7124999999999999",Open Database License,Via Taranto,https://www.openstreetmap.org/copyright
14.409328,40.869965,0,,"Via Somma  81, Sant'Anastasia",Campania,40.869965,14.409328,"Via Somma, 81, 80048 Sant'Anastasia NA, Italia","81",Via Somma,Comune di Sant'Anastasia,"80048",,Sant'Anastasia,Napoli,NA,Campania,CAM,Italia,it,"1.0",1,1,"1.0",© OpenAddresses contributors,BSD-3-Clause License,,"Via Somma  81, Sant'Anastasia",Campania,it,"1",BSD-3-Clause License,,
